Month,Sales
1974-07,24465
1974-08,24323
1974-09,24584
1974-10,25351
1974-11,26008
1974-12,26541
1975-01,27153
1975-02,27715
1975-03,28228
1975-04,28502
1975-05,28184
1975-06,28557
1975-07,29247
1975-08,29810
1975-09,30380
1975-10,31149
1975-11,31689
1975-12,32333
1976-01,32604
1976-02,32525
1976-03,32911
1976-04,32924
1976-05,32467
1976-06,32672
1976-07,33202
1976-08,33747
1976-09,34449
1976-10,35059
1976-11,35559
1976-12,36395
1977-01,36695
1977-02,37187
1977-03,37384
1977-04,36868
1977-05,36166
1977-06,36265
1977-07,36344
1977-08,36669
1977-09,37028
1977-10,37588
1977-11,38087
1977-12,38659
1978-01,38784
1978-02,39156
1978-03,39726
1978-04,39481
1978-05,38937
1978-06,39151
1978-07,39592
1978-08,40393
1978-09,40988
1978-10,41507
1978-11,41960
1978-12,42743
1979-01,43178
1979-02,43711
1979-03,44244
1979-04,44190
1979-05,43560
1979-06,43777
1979-07,44061
1979-08,44687
1979-09,45174
1979-10,45920
1979-11,46622
1979-12,47668
1980-01,48628
1980-02,49057
1980-03,49311
1980-04,49009
1980-05,48509
1980-06,49159
1980-07,49860
1980-08,50449
1980-09,51068
1980-10,51969
1980-11,52657
1980-12,53856
1981-01,54144
1981-02,54452
1981-03,55080
1981-04,55012
1981-05,54724
1981-06,55387
1981-07,55780
1981-08,56129
1981-09,56963
1981-10,57778
1981-11,58334
1981-12,59558
1982-01,59827
1982-02,60167
1982-03,60738
1982-04,61048
1982-05,61433
1982-06,61653
1982-07,62115
1982-08,62428
1982-09,63413
1982-10,63666
1982-11,64347
1982-12,65967
1983-01,65918
1983-02,66547
1983-03,68277
1983-04,68167
1983-05,68283
1983-06,69373
1983-07,70169
1983-08,70544
1983-09,71443
1983-10,71984
1983-11,72830
1983-12,74719
1984-01,75111
1984-02,75954
1984-03,76435
1984-04,76412
1984-05,76132
1984-06,76940
1984-07,78201
1984-08,78955
1984-09,79788
1984-10,80407
1984-11,81573
1984-12,83760
1985-01,85150
1985-02,86171
1985-03,87097
1985-04,87762
1985-05,87963
1985-06,90389
1985-07,93540
1985-08,93909
1985-09,95415
1985-10,95859
1985-11,96700
1985-12,98439
1986-01,97802
1986-02,97980
1986-03,99248
1986-04,100676
1986-05,100639
1986-06,101867
1986-07,103177
1986-08,103390
1986-09,104006
1986-10,105205
1986-11,105012
1986-12,107401
1987-01,108268
1987-02,108838
1987-03,110481
1987-04,112157
1987-05,112994
1987-06,114899
1987-07,117070
1987-08,117225
1987-09,118952
1987-10,120897
1987-11,122718
1987-12,124609
1988-01,124200
1988-02,124576
1988-03,125761
1988-04,126152
1988-05,126792
1988-06,130168
1988-07,131939
1988-08,133045
1988-09,135498
1988-10,139394
1988-11,142255
1988-12,147806
1989-01,149189
1989-02,152023
1989-03,154734
1989-04,156854
1989-05,158431
1989-06,164964
1989-07,171073
1989-08,173500
1989-09,173938
1989-10,176073
1989-11,177427
1989-12,180852
1990-01,182807
1990-02,184279
1990-03,185877
1990-04,187076
1990-05,186849
1990-06,190410
1990-07,191812
1990-08,193944
1990-09,187185
1990-10,198445
1990-11,200682
1990-12,204489
1991-01,200860
1991-02,199684
1991-03,200844
1991-04,199199
1991-05,199963
1991-06,202650
1991-07,203749
1991-08,203203
1991-09,205065
1991-10,205248
1991-11,204981
1991-12,208312
1992-01,207315
1992-02,207352
1992-03,206318
1992-04,206269
1992-05,206482
1992-06,208519
1992-07,218783
1992-08,219537
1992-09,219949
1992-10,219450
1992-11,221100
1992-12,224371
1993-01,225407
1993-02,225868
1993-03,227460
1993-04,225449
1993-05,225245
1993-06,229612
1993-07,231722
1993-08,229624
1993-09,232401
1993-10,233367
1993-11,235011
1993-12,237660
1994-01,240728
1994-02,240868
1994-03,244289
1994-04,243857
1994-05,244764
1994-06,246237
1994-07,248956
1994-08,249641
1994-09,250496
1994-10,253188
1994-11,256807
1994-12,261115
,
Volume of money, ABS definition m1. Feb 1960 ? Dec 1994
